Campaign,Ad Group,Keyword,Max CPC,Labels
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),Freight Quote,freight quote,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),Freight Quote,freight shipping quote,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),LTL Shipping,ltl shipping,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),LTL Shipping,less than truckload,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),FTL / Full Truckload,full truckload,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),FTL / Full Truckload,truckload shipping,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),Freight Broker Services,freight brokerage,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),Freight Broker Services,shipping quotes,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),Industry Lanes,refrigerated freight,,Brokerage_Broad_Optional
Search | US | Lead Gen | Freight Brokerage | Broad (Optional Test),Industry Lanes,temperature controlled shipping,,Brokerage_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Ocean Import,ocean freight,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Ocean Import,sea freight,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Ocean Export,export shipping,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Air Freight,air freight,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Air Freight,air cargo,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Customs Brokerage,customs clearance,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Customs Brokerage,customs broker,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Lane-Specific,international freight,,Forwarding_Broad_Optional
Search | US | Lead Gen | Intl Forwarding | Broad (Optional Test),Lane-Specific,freight forwarding,,Forwarding_Broad_Optional
Search | US | Lead Gen | 3PL Warehousing | Broad (Optional Test),3PL Services,3pl,,3PL_Broad_Optional
Search | US | Lead Gen | 3PL Warehousing | Broad (Optional Test),3PL Services,third party logistics,,3PL_Broad_Optional
Search | US | Lead Gen | 3PL Warehousing | Broad (Optional Test),Warehousing,warehousing,,3PL_Broad_Optional
Search | US | Lead Gen | 3PL Warehousing | Broad (Optional Test),Warehousing,warehouse distribution,,3PL_Broad_Optional
Search | US | Lead Gen | 3PL Warehousing | Broad (Optional Test),Fulfillment,ecommerce fulfillment,,3PL_Broad_Optional
Search | US | Lead Gen | 3PL Warehousing | Broad (Optional Test),Fulfillment,order fulfillment,,3PL_Broad_Optional
