Campaign,Ad Group,Keyword,Max CPC,Labels
Search | US | Brand | All Services | Exact,Brand,[apex logistics],,Brand
Search | US | Brand | All Services | Exact,Brand,[apex logistics group],,Brand
Search | US | Brand | All Services | Exact,Brand,[apex freight],,Brand
Search | US | Brand | All Services | Exact,Brand,[apex freight logistics],,Brand
Search | US | Brand | All Services | Exact,Brand,[apex 3pl],,Brand
Search | US | Brand | All Services | Exact,Brand,[apex logistics services],,Brand
Search | US | Brand | All Services | Exact,Brand,[apex logistics quote],,Brand
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight quotes],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[get a freight quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight quote online],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[online freight quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[request a freight quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight quote request],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight rate quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight rate quotes],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight pricing],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight cost estimator],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,Freight Quote,[freight quote service],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl shipping quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl freight quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl quote],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl shipping rates],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl freight rates],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl carrier],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[ltl carriers],,Brokerage_Exact
Search | US | Lead Gen | Freight Brokerage | Exact,LTL Shipping,[less than truckload],,Brokerage_Exact
